LOAN_NUMBER,SAMPLE_DATE,FILE_REQ_DATE,SECOND_REQUEST_DATE,SENT_TO_IMAGING_DATE,LENDER_RESPONSE_DUE_DATE,DATE_LOAN_FINALIZED,LENDER_ID,LENDER_NAME,LENDER_LOAN_ID,PROP_STATE,NEW_CONSTRUCTION_INDICATOR,CONDOMINIUM_INDICATOR,LOAN_ORIG_DATE,CURRENT_BALANCE,FICO_SCORE,LTV,ORIG_VALUE,AVM_VALUE,FIELD_REVIEW_VALUE_SUPPORTED,FIELD_REVIEW_VALUE,PURPOSE_CODE,OCCUPANCY_CODE,LENDER_INST_TYPE_DESCRIPTION,UNDERWRITER_NAME,REVIEW_DATE,REVIEW_STATUS,DEAL_NAME,START_DATE,LOAN_AGE,FICO_BIN,LTV_BIN
16436656,7/11/12,7/12/12,,7/30/12,,8/1/12,TJUWQU,Franklin American Mortgage Company,37818853,FL,No,No,3/1/12,190000,764,95,200000,,,,P,B,Mortgage Banker - (Large),Steve Winston,7/24/12,4,SEMT 2012-1,6/1/13,15.01468203,"[700.0, 800.0)","(90.0, 95.0]"
25142694,1/11/13,1/16/13,,1/25/13,,,HMKXYI,Moria Development Inc,431319151,AZ,No,No,10/9/12,265050,764,95,285000,,,,P,B,Mortgage Banker - Bank Owned,,,,SEMT 2012-1,6/1/13,7.72089776,"[700.0, 800.0)","(90.0, 95.0]"
20515691,10/8/12,10/10/12,10/25/12,11/1/12,,12/14/12,YUJCKW,First World Mortgage Corporation,,CT,No,No,7/26/12,385700,764,95,480000,,,,P,B,Mortgage Banker - Bank Owned,Eric Miller,12/7/12,4,SEMT 2012-5,6/1/13,10.18501407,"[700.0, 800.0)","(90.0, 95.0]"
23531821,6/1/10,9/2/10,,,,11/4/10,AXORJK,Key Mortgage Services Inc,1006406816,IL,No,No,3/1/10,413250,764,95,435000,,,,P,B,Mortgage Banker - Bank Owned,Steve Winston,11/4/10,4,SEMT 2012-1,6/1/13,39.03160229,"[700.0, 800.0)","(90.0, 95.0]"
22971129,9/5/12,9/7/12,,9/20/12,,10/10/12,ATZNCD,First Interstate Bank,9714787,WY,No,No,10/17/11,327500,765,82.91000366,395000,405852,,,R,B,Community Banks,Mike Willams,10/9/12,4,WFMBS 2006-AR4,6/1/13,19.48294626,"[700.0, 800.0)","(0.0, 85.0]"
19999819,6/1/10,6/28/10,,,,6/28/10,UXEJFK,First Savings Mortgage Corporation,214900185,MD,No,No,6/11/09,729750,765,84.36000061,865000,,,,P,B,Mortgage Banker - (Large),Mike Willams,6/28/10,4,SEMT 2012-1,6/1/13,47.67243681,"[700.0, 800.0)","(0.0, 85.0]"
19713054,11/2/11,11/8/11,,12/1/11,,12/29/11,ZJSEZO,JPMorgan Chase Bank NA,1974330838,WA,No,No,11/2/10,278150,765,85.58000183,325000,297000,,,R,B,Bank Owned Mortgage Company - National,Mike Willams,12/29/11,4,WFMBS 2006-5,6/1/13,30.94930081,"[700.0, 800.0)","(85.0, 90.0]"
20381663,1/11/13,1/16/13,,1/18/13,,,FAQRCY,York Traditions Bank,40168858,PA,No,No,11/20/12,144000,765,85.70999908,168000,,,,R,B,Community Banks,Steve Winston,1/30/13,4,WFMBS 2006-AR4,6/1/13,6.340992628,"[700.0, 800.0)","(85.0, 90.0]"
22512406,1/11/13,1/16/13,,,,,NQZXEI,Greenlight Financial Services,5776428315,ID,No,No,10/12/12,115000,765,88.45999908,130000,,,,R,B,Mortgage Banker - Bank Owned,,,,WFMBS 2006-AR4,6/1/13,7.622333107,"[700.0, 800.0)","(85.0, 90.0]"
16283445,4/19/11,4/25/11,,6/2/11,,7/8/11,NWZJFH,PHH Mortgage Corporation,5050437291,TN,No,No,2/25/11,71087,765,89.98000336,79000,,,,R,B,Mortgage Banker - (Large),Steve Winston,6/28/11,4,WFMBS 2006-5,6/1/13,27.17098914,"[700.0, 800.0)","(85.0, 90.0]"
